participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.request,group.id_in_subsession,group.total_requests,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,irbd99ie,,0,9,8,bargaining,Results,2023-11-19 12:22:15.993414,1,,,45.0,1,,45.0,45.0,1,95.0,1,qa9tmxp4,,,,,1
2,ortql2s2,,0,9,8,bargaining,Results,2023-11-19 12:22:15.998397,1,,,50.0,2,,50.0,50.0,1,95.0,1,qa9tmxp4,,,,,1
1,irbd99ie,,0,9,8,bargaining,Results,2023-11-19 12:22:15.993414,1,,,45.0,1,,0.0,50.0,1,110.0,2,qa9tmxp4,,,,,1
2,ortql2s2,,0,9,8,bargaining,Results,2023-11-19 12:22:15.998397,1,,,50.0,2,,0.0,60.0,1,110.0,2,qa9tmxp4,,,,,1
1,c21f7qpm,,0,9,8,bargaining,Results,2023-11-19 12:22:42.012062,1,,,0.0,1,,0.0,55.0,1,115.0,1,frij4c9v,,,,,1
2,6niyon1v,,0,9,8,bargaining,Results,2023-11-19 12:22:42.015848,1,,,0.0,2,,0.0,60.0,1,115.0,1,frij4c9v,,,,,1
1,c21f7qpm,,0,9,8,bargaining,Results,2023-11-19 12:22:42.012062,1,,,0.0,1,,0.0,55.0,1,110.0,2,frij4c9v,,,,,1
2,6niyon1v,,0,9,8,bargaining,Results,2023-11-19 12:22:42.015848,1,,,0.0,2,,0.0,55.0,1,110.0,2,frij4c9v,,,,,1
1,052hs2hs,,0,9,8,bargaining,Results,2023-11-19 12:23:05.502905,1,,,100.0,1,,50.0,50.0,1,100.0,1,kkvgi634,,,,,1
2,9xjon0x4,,0,9,8,bargaining,Results,2023-11-19 12:23:05.506126,1,,,100.0,2,,50.0,50.0,1,100.0,1,kkvgi634,,,,,1
1,052hs2hs,,0,9,8,bargaining,Results,2023-11-19 12:23:05.502905,1,,,100.0,1,,50.0,50.0,1,100.0,2,kkvgi634,,,,,1
2,9xjon0x4,,0,9,8,bargaining,Results,2023-11-19 12:23:05.506126,1,,,100.0,2,,50.0,50.0,1,100.0,2,kkvgi634,,,,,1
1,jppjrjbt,,0,9,8,bargaining,Results,2023-11-19 12:23:34.264597,1,,,45.0,1,,0.0,60.0,1,105.0,1,wtu315m5,,,,,1
