participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.request,group.id_in_subsession,group.total_requests,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,6fd37tho,,0,9,8,bargaining2,Results,2023-11-19 12:03:27.457981,1,,,0.0,1,,50.0,50.0,1,100.0,1,04da3dpb,,,,,1
2,g749d7zx,,0,9,8,bargaining2,Results,2023-11-19 12:03:27.461906,1,,,0.0,2,,50.0,50.0,1,100.0,1,04da3dpb,,,,,1
1,6fd37tho,,0,9,8,bargaining2,Results,2023-11-19 12:03:27.457981,1,,,0.0,1,,-50.0,60.0,1,120.0,2,04da3dpb,,,,,1
2,g749d7zx,,0,9,8,bargaining2,Results,2023-11-19 12:03:27.461906,1,,,0.0,2,,-50.0,60.0,1,120.0,2,04da3dpb,,,,,1
1,sw0whec8,,0,0,8,,,,0,,,0.0,1,,0.0,,1,,1,ncn6bxp6,,,,,1
2,l1m2at0y,,0,0,8,,,,0,,,0.0,2,,0.0,,1,,1,ncn6bxp6,,,,,1
1,sw0whec8,,0,0,8,,,,0,,,0.0,1,,0.0,,1,,2,ncn6bxp6,,,,,1
2,l1m2at0y,,0,0,8,,,,0,,,0.0,2,,0.0,,1,,2,ncn6bxp6,,,,,1
1,ll5ckwpf,,0,9,8,bargaining2,Results,2023-11-19 12:04:12.805339,1,,,-10.0,1,,-50.0,100.0,1,180.0,1,jdamyfs9,,,,,1
2,4ucmgcq9,,0,9,8,bargaining2,Results,2023-11-19 12:04:12.809029,1,,,-5.0,2,,-50.0,80.0,1,180.0,1,jdamyfs9,,,,,1
1,ll5ckwpf,,0,9,8,bargaining2,Results,2023-11-19 12:04:12.805339,1,,,-10.0,1,,40.0,40.0,1,85.0,2,jdamyfs9,,,,,1
2,4ucmgcq9,,0,9,8,bargaining2,Results,2023-11-19 12:04:12.809029,1,,,-5.0,2,,45.0,45.0,1,85.0,2,jdamyfs9,,,,,1
1,lqexe3bb,,0,0,8,,,,0,,,0.0,1,,0.0,,1,,1,4r87eudk,,,,,1
2,71h6ludu,,0,0,8,,,,0,,,0.0,2,,0.0,,1,,1,4r87eudk,,,,,1
1,lqexe3bb,,0,0,8,,,,0,,,0.0,1,,0.0,,1,,2,4r87eudk,,,,,1
2,71h6ludu,,0,0,8,,,,0,,,0.0,2,,0.0,,1,,2,4r87eudk,,,,,1
1,kyswk4ut,,0,9,8,bargaining2,Results,2023-11-19 12:08:17.462523,1,,,-5.0,1,,-50.0,80.0,1,130.0,1,2hsqwiii,,,,,1
2,2tg1ypko,,0,9,8,bargaining2,Results,2023-11-19 12:08:17.467129,1,,,0.0,2,,-50.0,50.0,1,130.0,1,2hsqwiii,,,,,1
1,kyswk4ut,,0,9,8,bargaining2,Results,2023-11-19 12:08:17.462523,1,,,-5.0,1,,45.0,45.0,1,95.0,2,2hsqwiii,,,,,1
2,2tg1ypko,,0,9,8,bargaining2,Results,2023-11-19 12:08:17.467129,1,,,0.0,2,,50.0,50.0,1,95.0,2,2hsqwiii,,,,,1
